repeat,repeat_seed,fold,algorithm,class,recall
1,42,1,Logistic Regression,BARBUNYA,0.9053030303030303
1,42,1,Logistic Regression,BOMBAY,0.9904761904761905
1,42,1,Logistic Regression,CALI,0.9478527607361963
1,42,1,Logistic Regression,DERMASON,0.9084507042253521
1,42,1,Logistic Regression,HOROZ,0.9402597402597402
1,42,1,Logistic Regression,SEKER,0.9359605911330049
1,42,1,Logistic Regression,SIRA,0.8500948766603416
1,42,1,k-NN,BARBUNYA,0.8863636363636364
1,42,1,k-NN,BOMBAY,1.0
1,42,1,k-NN,CALI,0.9662576687116564
1,42,1,k-NN,DERMASON,0.9084507042253521
1,42,1,k-NN,HOROZ,0.9402597402597402
1,42,1,k-NN,SEKER,0.9187192118226601
1,42,1,k-NN,SIRA,0.8804554079696395
1,42,1,Decision Tree,BARBUNYA,0.8939393939393939
1,42,1,Decision Tree,BOMBAY,1.0
1,42,1,Decision Tree,CALI,0.9202453987730062
1,42,1,Decision Tree,DERMASON,0.8929577464788733
1,42,1,Decision Tree,HOROZ,0.9298701298701298
1,42,1,Decision Tree,SEKER,0.9039408866995073
1,42,1,Decision Tree,SIRA,0.8652751423149905
1,42,1,RBF SVM,BARBUNYA,0.9053030303030303
1,42,1,RBF SVM,BOMBAY,1.0
1,42,1,RBF SVM,CALI,0.9539877300613497
1,42,1,RBF SVM,DERMASON,0.9225352112676056
1,42,1,RBF SVM,HOROZ,0.9454545454545454
1,42,1,RBF SVM,SEKER,0.9236453201970444
1,42,1,RBF SVM,SIRA,0.857685009487666
1,42,2,Logistic Regression,BARBUNYA,0.8939393939393939
1,42,2,Logistic Regression,BOMBAY,1.0
1,42,2,Logistic Regression,CALI,0.9539877300613497
1,42,2,Logistic Regression,DERMASON,0.9125528913963329
1,42,2,Logistic Regression,HOROZ,0.9559585492227979
1,42,2,Logistic Regression,SEKER,0.9482758620689655
1,42,2,Logistic Regression,SIRA,0.9127134724857685
1,42,2,k-NN,BARBUNYA,0.875
1,42,2,k-NN,BOMBAY,1.0
1,42,2,k-NN,CALI,0.9570552147239264
1,42,2,k-NN,DERMASON,0.918194640338505
1,42,2,k-NN,HOROZ,0.9585492227979274
1,42,2,k-NN,SEKER,0.9310344827586207
1,42,2,k-NN,SIRA,0.9089184060721063
1,42,2,Decision Tree,BARBUNYA,0.8409090909090909
1,42,2,Decision Tree,BOMBAY,1.0
1,42,2,Decision Tree,CALI,0.9447852760736196
1,42,2,Decision Tree,DERMASON,0.9097320169252469
1,42,2,Decision Tree,HOROZ,0.9481865284974094
1,42,2,Decision Tree,SEKER,0.9334975369458128
1,42,2,Decision Tree,SIRA,0.8785578747628083
1,42,2,RBF SVM,BARBUNYA,0.9204545454545454
1,42,2,RBF SVM,BOMBAY,1.0
1,42,2,RBF SVM,CALI,0.950920245398773
1,42,2,RBF SVM,DERMASON,0.92524682651622
1,42,2,RBF SVM,HOROZ,0.9559585492227979
1,42,2,RBF SVM,SEKER,0.9556650246305419
1,42,2,RBF SVM,SIRA,0.9013282732447818
1,42,3,Logistic Regression,BARBUNYA,0.9283018867924528
1,42,3,Logistic Regression,BOMBAY,1.0
1,42,3,Logistic Regression,CALI,0.941717791411043
1,42,3,Logistic Regression,DERMASON,0.9026798307475318
1,42,3,Logistic Regression,HOROZ,0.9481865284974094
1,42,3,Logistic Regression,SEKER,0.9580246913580247
1,42,3,Logistic Regression,SIRA,0.8709677419354839
1,42,3,k-NN,BARBUNYA,0.9320754716981132
1,42,3,k-NN,BOMBAY,1.0
1,42,3,k-NN,CALI,0.950920245398773
1,42,3,k-NN,DERMASON,0.921015514809591
1,42,3,k-NN,HOROZ,0.9404145077720207
1,42,3,k-NN,SEKER,0.9654320987654321
1,42,3,k-NN,SIRA,0.8652751423149905
1,42,3,Decision Tree,BARBUNYA,0.9018867924528302
1,42,3,Decision Tree,BOMBAY,0.9903846153846154
1,42,3,Decision Tree,CALI,0.8773006134969326
1,42,3,Decision Tree,DERMASON,0.9139633286318759
