algorithm,class,mean,sd
Decision Tree,BARBUNYA,0.8855231560891939,0.01802760706776729
Decision Tree,BOMBAY,0.9974481074481074,0.004380433803934169
Decision Tree,CALI,0.9208588957055215,0.021036006347869163
Decision Tree,DERMASON,0.9064690730182695,0.008349593514984424
Decision Tree,HOROZ,0.9261727564318237,0.010429789741559479
Decision Tree,SEKER,0.9301149425287356,0.013782145062554568
Decision Tree,SIRA,0.8574842351407815,0.01011401539579362
Logistic Regression,BARBUNYA,0.907958833619211,0.015101141026866289
Logistic Regression,BOMBAY,0.9980830280830281,0.003968559206819703
Logistic Regression,CALI,0.9425357873210634,0.013141005822546467
Logistic Regression,DERMASON,0.9159627061853964,0.01284939610023841
Logistic Regression,HOROZ,0.9517582935199516,0.008164295377875216
Logistic Regression,SEKER,0.9478728536966085,0.009939960235872037
Logistic Regression,SIRA,0.878604833917927,0.017125077368921826
RBF SVM,BARBUNYA,0.9195578425767105,0.016056462628927532
RBF SVM,BOMBAY,1.0,0.0
RBF SVM,CALI,0.9501022494887525,0.013692053596906768
RBF SVM,DERMASON,0.9311915877020468,0.009804451865445454
RBF SVM,HOROZ,0.950720678285445,0.008854102781932088
RBF SVM,SEKER,0.9508346003365161,0.011490436742833152
RBF SVM,SIRA,0.8782262856266652,0.01181080133659988
k-NN,BARBUNYA,0.8920745187726319,0.017834704195911412
k-NN,BOMBAY,1.0,0.0
k-NN,CALI,0.9537832310838446,0.011328156999754906
k-NN,DERMASON,0.9224491282438402,0.011004120654992509
k-NN,HOROZ,0.9484718390417872,0.010266353466115615
k-NN,SEKER,0.9403097569381095,0.013725726207504212
k-NN,SIRA,0.876582954785042,0.01508171553618568
